name,host_star,ltr,disc_year,orb_period_ed,radius_e,circumference_k,circumference_m,mass_e,density_e,solar_flux,habit_code,temp_c,temp_f,disc_facility,disc_method
Kepler-1442 b,Kepler-1442,b,2016,81.42,3.93,"157,319","97,759",14.7,0.2414,25.97,0,249.0,480.0,Kepler,Transit
Kepler-1443 b,Kepler-1443,b,2016,2.42,0.97,"38,829","24,129",0.9,0.951,2809.16,0,1329.0,2424.0,Kepler,Transit
Kepler-1444 b,Kepler-1444,b,2016,33.42,2.18,"87,266","54,228",5.4,0.5191,25.94,0,308.0,586.0,Kepler,Transit
Kepler-1445 b,Kepler-1445,b,2016,10.6,0.96,"38,429","23,880",0.8,0.9474,248.55,0,714.0,1317.0,Kepler,Transit
Kepler-1446 b,Kepler-1446,b,2016,0.69,0.82,"32,825","20,398",0.5,0.8621,1213.33,0,1266.0,2311.0,Kepler,Transit
Kepler-1447 b,Kepler-1447,b,2016,56.67,2.9,"116,088","72,138",8.8,0.3575,10.35,0,249.0,480.0,Kepler,Transit
Kepler-1448 b,Kepler-1448,b,2016,12.27,1.61,"64,449","40,049",3.2,0.7695,86.64,0,538.0,1000.0,Kepler,Transit
Kepler-1449 b,Kepler-1449,b,2016,13.23,1.68,"67,251","41,790",3.5,0.7278,271.88,0,594.0,1101.0,Kepler,Transit
Kepler-145 b,Kepler-145,b,2013,22.95,2.65,"106,080","65,919",37.1,1.9964,154.71,0,600.0,1112.0,Kepler,Transit
Kepler-145 c,Kepler-145,c,2013,42.88,4.32,"172,930","107,461",79.4,0.9819,67.19,0,436.0,817.0,Kepler,Transit
Kepler-1450 b,Kepler-1450,b,2016,54.51,1.71,"68,452","42,536",3.6,0.7114,3.08,0,35.0,95.0,Kepler,Transit
Kepler-1451 b,Kepler-1451,b,2016,35.62,3.35,"134,101","83,332",11.2,0.2976,18.75,0,250.0,482.0,Kepler,Transit
Kepler-1452 b,Kepler-1452,b,2016,42.91,2.7,"108,081","67,163",7.8,0.392,73.5,0,537.0,999.0,Kepler,Transit
Kepler-1453 b,Kepler-1453,b,2016,47.16,2.67,"106,881","66,417",7.6,0.3993,11.89,0,230.0,446.0,Kepler,Transit
Kepler-1454 b,Kepler-1454,b,2016,47.03,1.88,"75,257","46,765",4.2,0.6298,9.08,0,219.0,426.0,Kepler,Transit
Kepler-1455 b,Kepler-1455,b,2016,49.28,2.16,"86,465","53,730",5.3,1.029,1.53,0,25.0,77.0,Kepler,Transit
Kepler-1456 b,Kepler-1456,b,2016,18.14,1.14,"45,634","28,358",1.6,1.0436,8.23,0,160.0,320.0,Kepler,Transit
Kepler-1457 b,Kepler-1457,b,2016,51.11,1.99,"79,660","49,502",4.6,0.5844,23.47,0,205.0,401.0,Kepler,Transit
Kepler-1458 b,Kepler-1458,b,2016,47.99,2.76,"110,483","68,655",8.0,0.3811,8.29,0,220.0,428.0,Kepler,Transit
Kepler-1459 b,Kepler-1459,b,2016,62.87,1.36,"54,441","33,830",2.4,0.9601,3.51,0,76.0,169.0,Kepler,Transit
Kepler-146 b,Kepler-146,b,2014,31.16,3.71,"148,512","92,287",13.3,0.2595,32.89,0,366.0,691.0,Kepler,Transit
Kepler-146 c,Kepler-146,c,2014,76.73,3.13,"125,294","77,859",10.0,0.323,9.89,0,200.0,392.0,Kepler,Transit
Kepler-1460 b,Kepler-1460,b,2016,29.96,1.96,"78,459","48,755",4.5,0.5953,5.47,0,118.0,244.0,Kepler,Transit
Kepler-1461 b,Kepler-1461,b,2016,29.35,2.03,"81,261","50,497",4.8,0.5699,8.88,0,178.0,352.0,Kepler,Transit
Kepler-1462 b,Kepler-1462,b,2016,65.65,3.82,"152,915","95,023",14.0,0.2505,4.7,0,117.0,243.0,Kepler,Transit
Kepler-1463 b,Kepler-1463,b,2016,25.16,1.86,"74,456","46,268",4.1,0.6388,57.63,0,346.0,655.0,Kepler,Transit
Kepler-1464 b,Kepler-1464,b,2016,31.78,1.66,"66,450","41,293",3.4,0.7387,89.47,0,291.0,556.0,Kepler,Transit
Kepler-1464 c,Kepler-1464,c,2016,5.33,1.0,"40,030","24,875",1.0,0.9691,968.55,0,750.0,1382.0,Kepler,Transit
Kepler-1465 b,Kepler-1465,b,2016,31.83,1.77,"70,853","44,029",3.8,0.6806,6.25,0,395.0,743.0,Kepler,Transit
Kepler-1466 b,Kepler-1466,b,2016,31.18,1.55,"62,047","38,556",3.0,0.8094,21.88,0,312.0,594.0,Kepler,Transit
Kepler-1467 b,Kepler-1467,b,2016,47.06,3.3,"132,100","82,088",10.9,0.3031,7.92,0,138.0,280.0,Kepler,Transit
Kepler-1468 b,Kepler-1468,b,2016,8.24,1.73,"69,252","43,034",3.6,0.7005,481.35,0,820.0,1508.0,Kepler,Transit
Kepler-1468 c,Kepler-1468,c,2016,3.55,1.15,"46,035","28,606",1.6,1.049,1479.57,0,1175.0,2147.0,Kepler,Transit
Kepler-1469 b,Kepler-1469,b,2016,21.86,2.8,"112,084","69,650",8.2,0.3757,24.9,0,278.0,532.0,Kepler,Transit
Kepler-147 b,Kepler-147,b,2014,12.61,1.53,"61,246","38,059",3.0,0.824,224.61,0,680.0,1256.0,Kepler,Transit
Kepler-147 c,Kepler-147,c,2014,33.42,2.43,"97,273","60,447",6.5,0.4501,61.29,0,416.0,781.0,Kepler,Transit
Kepler-1470 b,Kepler-1470,b,2016,16.3,1.07,"42,832","26,616",1.2,1.0091,23.92,0,301.0,574.0,Kepler,Transit
Kepler-1471 b,Kepler-1471,b,2016,3.64,1.41,"56,443","35,074",2.6,0.9147,314.23,0,965.0,1769.0,Kepler,Transit
Kepler-1472 b,Kepler-1472,b,2016,38.13,1.9,"76,057","47,263",4.3,0.6207,57.08,0,340.0,644.0,Kepler,Transit
Kepler-1473 b,Kepler-1473,b,2016,14.43,1.19,"47,636","29,601",1.8,1.0708,111.01,0,510.0,950.0,Kepler,Transit
Kepler-1474 b,Kepler-1474,b,2016,36.43,2.16,"86,465","53,730",5.3,0.5263,21.39,0,288.0,550.0,Kepler,Transit
Kepler-1475 b,Kepler-1475,b,2016,82.18,2.92,"116,888","72,635",8.8,0.3539,13.76,0,168.0,334.0,Kepler,Transit
Kepler-1476 b,Kepler-1476,b,2016,10.36,1.67,"66,850","41,541",3.4,0.735,75.64,0,587.0,1089.0,Kepler,Transit
Kepler-1477 b,Kepler-1477,b,2016,11.56,1.18,"47,236","29,353",1.8,1.069,78.16,0,401.0,754.0,Kepler,Transit
Kepler-1478 b,Kepler-1478,b,2016,26.08,1.73,"69,252","43,034",3.6,0.7005,85.28,0,325.0,617.0,Kepler,Transit
Kepler-1479 b,Kepler-1479,b,2016,14.53,1.83,"73,255","45,521",4.0,0.6534,98.57,0,473.0,883.0,Kepler,Transit
Kepler-148 b,Kepler-148,b,2014,1.73,1.8,"72,054","44,775",3.9,0.6661,609.02,0,1011.0,1852.0,Kepler,Transit
Kepler-148 c,Kepler-148,c,2014,4.18,3.6,"144,109","89,550",12.6,0.2686,187.2,0,684.0,1263.0,Kepler,Transit
Kepler-148 d,Kepler-148,d,2016,51.85,8.68,"347,462","215,916",56.3,0.0858,6.53,0,140.0,284.0,Kepler,Transit
Kepler-1480 b,Kepler-1480,b,2016,22.13,1.67,"66,850","41,541",3.4,0.735,16.32,0,448.0,838.0,Kepler,Transit
Kepler-1481 b,Kepler-1481,b,2016,5.94,1.23,"49,237","30,596",2.0,1.0926,71.94,0,524.0,975.0,Kepler,Transit
Kepler-1482 b,Kepler-1482,b,2016,12.25,1.01,"40,430","25,124",1.0,0.9782,86.5,0,405.0,761.0,Kepler,Transit
Kepler-1483 b,Kepler-1483,b,2016,9.51,1.52,"60,846","37,810",2.9,0.8294,265.02,0,858.0,1576.0,Kepler,Transit
Kepler-1484 b,Kepler-1484,b,2016,30.45,2.11,"84,464","52,487",5.1,0.5408,35.92,0,351.0,664.0,Kepler,Transit
Kepler-1485 b,Kepler-1485,b,2016,19.92,1.47,"58,844","36,566",2.8,0.8657,85.18,0,455.0,851.0,Kepler,Transit
Kepler-1486 b,Kepler-1486,b,2016,54.65,2.32,"92,870","57,710",6.0,0.4791,22.37,0,265.0,509.0,Kepler,Transit
Kepler-1487 b,Kepler-1487,b,2016,7.32,2.13,"85,264","52,984",5.2,0.5354,323.29,0,1409.0,2568.0,Kepler,Transit
Kepler-1488 b,Kepler-1488,b,2016,39.82,1.86,"74,456","46,268",4.1,0.6388,73.33,0,377.0,711.0,Kepler,Transit
Kepler-1489 b,Kepler-1489,b,2016,82.29,1.77,"70,853","44,029",3.8,0.6806,11.89,0,127.0,261.0,Kepler,Transit
Kepler-149 b,Kepler-149,b,2014,29.2,4.21,"168,527","104,724",16.5,0.2214,23.64,0,267.0,513.0,Kepler,Transit
Kepler-149 c,Kepler-149,c,2014,55.33,1.61,"64,449","40,049",3.2,0.7695,10.08,0,163.0,325.0,Kepler,Transit
Kepler-149 d,Kepler-149,d,2014,160.02,3.96,"158,519","98,506",14.9,0.2396,2.45,0,33.0,91.0,Kepler,Transit
Kepler-1490 b,Kepler-1490,b,2016,92.44,3.04,"121,692","75,620",9.5,0.3358,3.79,0,75.0,167.0,Kepler,Transit
Kepler-1491 b,Kepler-1491,b,2016,16.59,1.51,"60,446","37,561",2.9,0.8367,138.11,0,548.0,1018.0,Kepler,Transit
Kepler-1492 b,Kepler-1492,b,2016,16.75,1.49,"59,645","37,064",2.8,0.853,11.52,0,528.0,982.0,Kepler,Transit
Kepler-1493 b,Kepler-1493,b,2016,15.02,1.41,"56,443","35,074",2.6,0.9147,137.91,0,601.0,1114.0,Kepler,Transit
Kepler-1494 b,Kepler-1494,b,2016,91.08,3.07,"122,893","76,367",9.6,0.3321,9.11,0,142.0,288.0,Kepler,Transit
Kepler-1495 b,Kepler-1495,b,2016,85.27,2.94,"117,689","73,133",9.0,0.3521,9.1,0,170.0,338.0,Kepler,Transit
Kepler-1496 b,Kepler-1496,b,2016,64.66,2.22,"88,867","55,223",5.6,0.5064,18.38,0,262.0,504.0,Kepler,Transit
Kepler-1497 b,Kepler-1497,b,2016,8.74,1.66,"66,450","41,293",3.4,0.7387,172.38,0,651.0,1204.0,Kepler,Transit
Kepler-1498 b,Kepler-1498,b,2016,48.05,1.33,"53,240","33,084",2.3,0.9873,9.86,0,291.0,556.0,Kepler,Transit
Kepler-1499 b,Kepler-1499,b,2016,44.2,1.19,"47,636","29,601",1.8,1.0708,7.37,0,136.0,277.0,Kepler,Transit
Kepler-15 b,Kepler-15,b,2011,4.94,10.76,"430,725","267,656",209.8,0.1688,430.68,0,978.0,1792.0,Kepler,Transit
Kepler-150 b,Kepler-150,b,2014,3.43,1.25,"50,038","31,094",2.1,1.0726,367.26,0,858.0,1576.0,Kepler,Transit
Kepler-150 c,Kepler-150,c,2014,7.38,3.69,"147,711","91,789",13.2,0.2613,132.09,0,603.0,1117.0,Kepler,Transit
Kepler-150 d,Kepler-150,d,2014,12.56,2.79,"111,684","69,402",8.2,0.3757,65.14,0,461.0,862.0,Kepler,Transit
Kepler-150 e,Kepler-150,e,2014,30.83,3.12,"124,894","77,610",9.9,0.3249,19.67,0,271.0,520.0,Kepler,Transit
Kepler-150 f,Kepler-150,f,2017,637.21,3.64,"145,710","90,545",12.9,0.2668,,0,,,Kepler,Transit
Kepler-1500 b,Kepler-1500,b,2016,15.03,1.2,"48,036","29,850",1.9,1.0799,131.82,0,655.0,1211.0,Kepler,Transit
Kepler-1501 b,Kepler-1501,b,2016,14.56,1.56,"62,447","38,805",3.0,0.8004,100.0,0,514.0,957.0,Kepler,Transit
Kepler-1502 b,Kepler-1502,b,2016,41.71,3.18,"127,296","79,103",10.2,0.3158,77.32,0,335.0,635.0,Kepler,Transit
Kepler-1503 b,Kepler-1503,b,2016,96.17,2.27,"90,868","56,467",5.8,0.4918,5.64,0,48.0,118.0,Kepler,Transit
Kepler-1504 b,Kepler-1504,b,2016,82.3,2.13,"85,264","52,984",5.2,0.5354,25.17,0,212.0,414.0,Kepler,Transit
Kepler-1505 b,Kepler-1505,b,2016,30.86,0.93,"37,228","23,134",0.7,0.9292,36.12,0,252.0,486.0,Kepler,Transit
Kepler-1506 b,Kepler-1506,b,2016,14.03,1.32,"52,840","32,835",2.3,0.9982,235.81,0,510.0,950.0,Kepler,Transit
Kepler-1507 b,Kepler-1507,b,2016,16.05,0.84,"33,625","20,895",0.5,0.8748,30.48,0,357.0,675.0,Kepler,Transit
Kepler-1508 b,Kepler-1508,b,2016,20.71,1.33,"53,240","33,084",2.3,0.9873,116.14,0,694.0,1281.0,Kepler,Transit
Kepler-1509 b,Kepler-1509,b,2016,25.43,1.85,"74,056","46,019",4.1,0.6425,83.08,0,394.0,741.0,Kepler,Transit
Kepler-151 b,Kepler-151,b,2014,15.23,3.06,"122,492","76,118",9.6,0.3339,40.73,0,366.0,691.0,Kepler,Transit
Kepler-151 c,Kepler-151,c,2014,24.67,2.09,"83,663","51,989",5.0,0.5481,21.41,0,271.0,520.0,Kepler,Transit
Kepler-1510 b,Kepler-1510,b,2016,84.7,3.36,"134,501","83,580",11.2,0.294,14.04,0,264.0,507.0,Kepler,Transit
Kepler-1511 b,Kepler-1511,b,2016,23.24,1.68,"67,251","41,790",3.5,0.7278,228.22,0,630.0,1166.0,Kepler,Transit
Kepler-1512 b,Kepler-1512,b,2016,20.36,1.18,"47,236","29,353",1.8,1.8512,1.6,0,49.0,120.0,Kepler,Transit
Kepler-1513 b,Kepler-1513,b,2016,160.88,8.46,"338,655","210,444",53.9,0.0887,2.23,0,73.0,163.0,Kepler,Transit
Kepler-1514 b,Kepler-1514,b,2016,217.83,11.82,"473,157","294,024",,,3.76,0,70.0,158.0,Kepler,Transit
Kepler-1514 c,Kepler-1514,c,2020,10.51,1.32,"52,840","32,835",2.3,0.9964,,0,,,Kepler,Transit
Kepler-1515 b,Kepler-1515,b,2016,214.31,9.55,"382,288","237,557",66.2,0.0759,6.02,0,107.0,225.0,Kepler,Transit
Kepler-1516 b,Kepler-1516,b,2016,7.26,1.75,"70,053","43,531",3.7,0.6897,615.25,0,694.0,1281.0,Kepler,Transit
Kepler-1517 b,Kepler-1517,b,2016,5.55,9.76,"390,694","242,781",68.7,0.0737,1526.98,0,2063.0,3745.0,Kepler,Transit
Kepler-1518 b,Kepler-1518,b,2016,5.11,3.05,"122,092","75,869",9.5,0.3358,1079.46,0,1078.0,1972.0,Kepler,Transit
Kepler-1519 b,Kepler-1519,b,2016,240.8,7.06,"282,613","175,618",39.6,0.1122,3.94,0,69.0,156.0,Kepler,Transit
Kepler-152 b,Kepler-152,b,2014,18.21,2.79,"111,684","69,402",8.2,0.3757,21.08,0,278.0,532.0,Kepler,Transit
Kepler-152 c,Kepler-152,c,2014,88.26,2.39,"95,672","59,452",6.3,0.461,2.57,0,53.0,127.0,Kepler,Transit
Kepler-1520 b,Kepler-1520,b,2016,0.65,5.77,"230,974","143,530",28.1,0.1459,1134.39,0,1164.0,2127.0,Kepler,Transit
Kepler-1521 b,Kepler-1521,b,2016,47.15,2.5,"100,075","62,188",6.8,0.4338,5.12,0,118.0,244.0,Kepler,Transit
Kepler-1522 b,Kepler-1522,b,2016,1.85,1.73,"69,252","43,034",3.6,0.7005,1513.46,0,1101.0,2014.0,Kepler,Transit
Kepler-1523 b,Kepler-1523,b,2016,0.94,1.58,"63,248","39,303",3.1,0.7895,2218.14,0,1403.0,2557.0,Kepler,Transit
Kepler-1524 b,Kepler-1524,b,2016,70.97,3.54,"141,707","88,058",12.3,0.2759,8.44,0,165.0,329.0,Kepler,Transit
Kepler-1525 b,Kepler-1525,b,2016,2.42,0.91,"36,427","22,636",0.7,0.9165,715.11,0,1070.0,1958.0,Kepler,Transit
Kepler-1526 b,Kepler-1526,b,2016,3.91,2.43,"97,273","60,447",6.5,0.4501,99.1,0,514.0,957.0,Kepler,Transit
Kepler-1527 b,Kepler-1527,b,2016,160.13,4.77,"190,944","118,654",20.4,0.1869,7.81,0,177.0,351.0,Kepler,Transit
Kepler-1528 b,Kepler-1528,b,2016,1.79,1.46,"58,444","36,318",2.7,0.8748,1106.85,0,1276.0,2329.0,Kepler,Transit
Kepler-1529 b,Kepler-1529,b,2016,5.34,2.1,"84,063","52,238",5.1,0.5445,115.77,0,544.0,1011.0,Kepler,Transit
Kepler-153 b,Kepler-153,b,2014,18.87,2.92,"116,888","72,635",8.8,0.3539,21.61,0,348.0,658.0,Kepler,Transit
Kepler-153 c,Kepler-153,c,2014,46.9,2.53,"101,276","62,934",6.9,0.4265,6.42,0,185.0,365.0,Kepler,Transit
Kepler-1530 b,Kepler-1530,b,2016,2.59,1.64,"65,649","40,795",3.3,0.7532,353.56,0,1211.0,2212.0,Kepler,Transit
Kepler-1530 c,Kepler-1530,c,2016,5.32,1.65,"66,050","41,044",3.4,0.7459,135.18,0,894.0,1641.0,Kepler,Transit
Kepler-1531 b,Kepler-1531,b,2016,1.14,1.11,"44,433","27,611",1.4,1.029,9805.45,0,2264.0,4107.0,Kepler,Transit
Kepler-1532 b,Kepler-1532,b,2016,1.09,1.35,"54,041","33,581",2.4,0.9691,1705.76,0,1408.0,2566.0,Kepler,Transit
Kepler-1533 b,Kepler-1533,b,2016,308.55,3.46,"138,504","86,068",11.8,0.2849,4.79,0,57.0,135.0,Kepler,Transit
Kepler-1534 b,Kepler-1534,b,2016,5.72,1.89,"75,657","47,014",4.2,0.6243,196.51,0,682.0,1260.0,Kepler,Transit
Kepler-1535 b,Kepler-1535,b,2016,138.94,2.55,"102,077","63,432",7.0,0.4229,5.38,0,111.0,232.0,Kepler,Transit
Kepler-1536 b,Kepler-1536,b,2016,364.76,3.14,"125,695","78,108",10.0,0.3212,0.19,0,-107.0,-161.0,Kepler,Transit
Kepler-1537 b,Kepler-1537,b,2016,1.44,1.18,"47,236","29,353",1.8,1.069,713.17,0,1527.0,2781.0,Kepler,Transit
Kepler-1538 b,Kepler-1538,b,2016,175.14,2.82,"112,885","70,148",8.4,0.3721,1.99,0,73.0,163.0,Kepler,Transit
Kepler-1539 b,Kepler-1539,b,2016,133.3,2.7,"108,081","67,163",7.8,0.392,1.57,0,28.0,82.0,Kepler,Transit
Kepler-154 b,Kepler-154,b,2014,33.04,2.26,"90,468","56,218",5.7,0.4955,28.11,0,288.0,550.0,Kepler,Transit
Kepler-154 c,Kepler-154,c,2014,62.3,2.95,"118,089","73,382",9.0,0.3503,12.07,0,181.0,358.0,Kepler,Transit
Kepler-154 d,Kepler-154,d,2016,20.55,3.84,"153,716","95,521",14.1,0.2486,53.0,0,384.0,723.0,Kepler,Transit
Kepler-154 e,Kepler-154,e,2016,3.93,1.5,"60,045","37,313",2.9,0.8457,480.4,0,867.0,1593.0,Kepler,Transit
Kepler-154 f,Kepler-154,f,2016,9.92,1.5,"60,045","37,313",2.9,0.8457,139.88,0,565.0,1049.0,Kepler,Transit
Kepler-1540 b,Kepler-1540,b,2016,125.41,2.49,"99,675","61,939",6.8,0.4374,0.85,2,-7.0,19.0,Kepler,Transit
Kepler-1541 b,Kepler-1541,b,2016,8.41,1.16,"46,435","28,855",1.6,1.0544,75.56,0,775.0,1427.0,Kepler,Transit
Kepler-1542 b,Kepler-1542,b,2016,3.95,0.76,"30,423","18,905",0.4,0.824,518.44,0,887.0,1629.0,Kepler,Transit
Kepler-1542 c,Kepler-1542,c,2016,2.89,0.65,"26,020","16,169",0.2,0.755,786.08,0,1014.0,1857.0,Kepler,Transit
Kepler-1542 d,Kepler-1542,d,2016,5.99,0.87,"34,826","21,641",0.6,0.8929,297.81,0,737.0,1359.0,Kepler,Transit
Kepler-1542 e,Kepler-1542,e,2016,5.1,0.76,"30,423","18,905",0.4,0.824,370.0,0,792.0,1458.0,Kepler,Transit
Kepler-1543 b,Kepler-1543,b,2016,6.97,2.71,"108,482","67,412",7.8,0.3902,375.65,0,1501.0,2734.0,Kepler,Transit
Kepler-1544 b,Kepler-1544,b,2016,168.81,1.78,"71,254","44,278",3.8,0.5263,0.83,2,-4.0,25.0,Kepler,Transit
Kepler-1545 b,Kepler-1545,b,2016,163.69,2.7,"108,081","67,163",7.8,0.392,1.41,0,1.0,34.0,Kepler,Transit
Kepler-1546 b,Kepler-1546,b,2016,19.6,3.13,"125,294","77,859",10.0,0.323,36.3,0,398.0,748.0,Kepler,Transit
Kepler-1547 b,Kepler-1547,b,2016,0.69,0.9,"36,027","22,388",0.7,0.9111,5760.94,0,2913.0,5275.0,Kepler,Transit
Kepler-1548 b,Kepler-1548,b,2016,124.83,2.64,"105,680","65,670",7.5,0.4047,1.93,0,77.0,171.0,Kepler,Transit
Kepler-1549 b,Kepler-1549,b,2016,214.89,2.57,"102,878","63,929",7.1,0.4192,1.18,0,13.0,55.0,Kepler,Transit
Kepler-155 b,Kepler-155,b,2014,5.93,2.09,"83,663","51,989",5.0,0.8584,23.5,0,341.0,646.0,Kepler,Transit
Kepler-155 c,Kepler-155,c,2014,52.66,2.24,"89,668","55,720",5.6,0.8584,1.28,0,13.0,55.0,Kepler,Transit
Kepler-1550 b,Kepler-1550,b,2016,225.58,3.02,"120,891","75,123",9.4,0.3394,2.31,0,75.0,167.0,Kepler,Transit
Kepler-1551 b,Kepler-1551,b,2016,24.5,2.66,"106,480","66,168",7.6,0.4011,60.42,0,449.0,840.0,Kepler,Transit
Kepler-1552 b,Kepler-1552,b,2016,184.77,2.47,"98,875","61,442",6.7,0.441,1.85,2,-5.0,23.0,Kepler,Transit
Kepler-1553 b,Kepler-1553,b,2016,4.24,1.15,"46,035","28,606",1.6,1.049,166.11,0,653.0,1207.0,Kepler,Transit
Kepler-1554 b,Kepler-1554,b,2016,198.09,2.9,"116,088","72,138",8.8,0.3575,1.01,0,15.0,59.0,Kepler,Transit
Kepler-1555 b,Kepler-1555,b,2016,8.11,1.61,"64,449","40,049",3.2,0.7695,483.26,0,686.0,1267.0,Kepler,Transit
Kepler-1556 b,Kepler-1556,b,2016,8.83,1.96,"78,459","48,755",4.5,0.5953,92.14,0,524.0,975.0,Kepler,Transit
Kepler-1557 b,Kepler-1557,b,2016,3.74,1.53,"61,246","38,059",3.0,0.824,645.54,0,1014.0,1857.0,Kepler,Transit
Kepler-1558 b,Kepler-1558,b,2016,3.5,0.68,"27,221","16,915",0.2,0.7731,189.89,0,746.0,1375.0,Kepler,Transit
Kepler-1559 b,Kepler-1559,b,2016,0.97,0.72,"28,822","17,910",0.3,0.7985,1620.06,0,1336.0,2437.0,Kepler,Transit
Kepler-156 b,Kepler-156,b,2014,4.97,2.3,"92,069","57,213",5.9,0.4828,135.08,0,594.0,1101.0,Kepler,Transit
Kepler-156 c,Kepler-156,c,2014,15.91,2.55,"102,077","63,432",7.0,0.4229,28.64,0,315.0,599.0,Kepler,Transit
Kepler-1560 b,Kepler-1560,b,2016,3.03,0.89,"35,627","22,139",0.6,0.9056,593.92,0,996.0,1825.0,Kepler,Transit
Kepler-1561 b,Kepler-1561,b,2016,1.01,1.09,"43,633","27,114",1.3,1.0163,2364.81,0,1409.0,2568.0,Kepler,Transit
Kepler-1562 b,Kepler-1562,b,2016,64.27,3.55,"142,107","88,307",12.3,0.274,31.77,0,281.0,538.0,Kepler,Transit
Kepler-1563 b,Kepler-1563,b,2016,3.43,0.75,"30,023","18,656",0.3,0.8203,390.57,0,861.0,1582.0,Kepler,Transit
Kepler-1564 b,Kepler-1564,b,2016,18.05,1.47,"58,844","36,566",2.8,0.8657,41.51,0,362.0,684.0,Kepler,Transit
Kepler-1565 b,Kepler-1565,b,2016,1.54,1.19,"47,636","29,601",1.8,1.0708,510.57,0,961.0,1762.0,Kepler,Transit
Kepler-1566 b,Kepler-1566,b,2016,0.54,0.79,"31,624","19,651",0.4,0.8457,2340.98,0,1598.0,2908.0,Kepler,Transit
Kepler-1567 b,Kepler-1567,b,2016,153.98,2.73,"109,282","67,909",7.9,0.3866,2.72,0,57.0,135.0,Kepler,Transit
Kepler-1568 b,Kepler-1568,b,2016,20.93,1.3,"52,039","32,338",2.2,1.0163,72.57,0,456.0,853.0,Kepler,Transit
Kepler-1569 b,Kepler-1569,b,2016,5.79,1.68,"67,251","41,790",3.5,0.7278,495.65,0,949.0,1740.0,Kepler,Transit
Kepler-157 b,Kepler-157,b,2014,1.73,1.32,"52,840","32,835",2.3,0.9982,1572.31,0,1273.0,2323.0,Kepler,Transit
Kepler-157 c,Kepler-157,c,2014,13.54,2.24,"89,668","55,720",5.6,0.5009,101.75,0,506.0,943.0,Kepler,Transit
Kepler-157 d,Kepler-157,d,2016,7.03,1.46,"58,444","36,318",2.7,0.8748,244.06,0,696.0,1285.0,Kepler,Transit
Kepler-1570 b,Kepler-1570,b,2016,26.55,1.07,"42,832","26,616",1.2,1.0091,76.46,0,563.0,1045.0,Kepler,Transit
Kepler-1571 b,Kepler-1571,b,2016,3.39,1.52,"60,846","37,810",2.9,0.8294,757.13,0,1203.0,2197.0,Kepler,Transit
Kepler-1572 b,Kepler-1572,b,2016,5.5,0.94,"37,628","23,383",0.8,0.9347,583.52,0,1020.0,1868.0,Kepler,Transit
Kepler-1573 b,Kepler-1573,b,2016,2.62,1.2,"48,036","29,850",1.9,1.0799,1343.11,0,1106.0,2023.0,Kepler,Transit
Kepler-1574 b,Kepler-1574,b,2016,6.94,1.29,"51,639","32,089",2.2,1.0272,289.78,0,730.0,1346.0,Kepler,Transit
Kepler-1575 b,Kepler-1575,b,2016,2.55,1.31,"52,440","32,586",2.3,1.0073,803.68,0,1039.0,1902.0,Kepler,Transit
Kepler-1576 b,Kepler-1576,b,2016,6.98,1.04,"41,631","25,870",1.1,0.9927,156.61,0,786.0,1447.0,Kepler,Transit
Kepler-1577 b,Kepler-1577,b,2016,6.31,1.13,"45,234","28,109",1.5,1.0436,57.75,0,852.0,1566.0,Kepler,Transit
Kepler-1578 b,Kepler-1578,b,2016,1.45,1.04,"41,631","25,870",1.1,0.9927,1486.44,0,1427.0,2601.0,Kepler,Transit
Kepler-1579 b,Kepler-1579,b,2016,0.85,0.84,"33,625","20,895",0.5,0.8748,396.64,0,866.0,1591.0,Kepler,Transit
Kepler-158 b,Kepler-158,b,2014,16.71,2.12,"84,864","52,735",5.1,0.5372,13.63,0,227.0,441.0,Kepler,Transit
Kepler-158 c,Kepler-158,c,2014,28.55,1.9,"76,057","47,263",4.3,0.6207,6.68,0,145.0,293.0,Kepler,Transit
Kepler-1580 b,Kepler-1580,b,2016,56.64,2.11,"84,464","52,487",5.1,0.5408,83.09,0,460.0,860.0,Kepler,Transit
Kepler-1581 b,Kepler-1581,b,2016,6.28,0.8,"32,024","19,900",0.4,0.8512,470.86,0,835.0,1535.0,Kepler,Transit
Kepler-1582 b,Kepler-1582,b,2016,4.84,1.49,"59,645","37,064",2.8,0.853,2.5,0,81.0,178.0,Kepler,Transit
Kepler-1583 b,Kepler-1583,b,2016,9.33,0.6,"24,018","14,925",0.2,0.7205,124.31,0,515.0,959.0,Kepler,Transit
Kepler-1584 b,Kepler-1584,b,2016,13.4,1.61,"64,449","40,049",3.2,0.7695,162.54,0,613.0,1135.0,Kepler,Transit
Kepler-1585 b,Kepler-1585,b,2016,3.58,1.79,"71,654","44,526",3.9,0.6715,182.94,0,791.0,1456.0,Kepler,Transit
Kepler-1586 b,Kepler-1586,b,2016,15.6,1.52,"60,846","37,810",2.9,0.8294,105.77,0,740.0,1364.0,Kepler,Transit
Kepler-1587 b,Kepler-1587,b,2016,9.41,1.33,"53,240","33,084",2.3,0.9873,254.7,0,708.0,1306.0,Kepler,Transit
Kepler-1588 b,Kepler-1588,b,2016,7.85,0.76,"30,423","18,905",0.4,0.824,359.79,0,652.0,1206.0,Kepler,Transit
Kepler-1589 b,Kepler-1589,b,2016,0.99,1.09,"43,633","27,114",1.3,1.0163,5228.78,0,1829.0,3324.0,Kepler,Transit
